ID_Estudiante,Edad,Fecha_Inscripcion,Genero,Estilo_Aprendizaje,Carrera,Signo_Zodiacal,Examen_Admision,Horas_Estudio_Semanal,Asistencia_Pct,Faltas,Promedio_Parciales,Motivacion,Nota_Final,Aprobo
58,26.6,2024-10-10,F,visual,Artes,Sagitario,3.84,,82.4,4.0,2.52,8.0,1.98,no
59,19.9,2022-04-12,F,equilibrio,Ingenieria,Leo,3.78,4.1,69.6,6.0,2.55,7.0,2.18,no
60,20.1,2025-09-06,F,equilibrio,Derecho,Acuario,2.26,19.7,62.8,8.0,1.58,3.0,1.58,no
61,24.0,2022-10-24,M,visual,Administracion,Geminis,3.9,12.4,60.4,8.0,,5.0,1.84,no
62,25.4,2022-01-16,,intuitivo,Ingenieria,Leo,3.0,7.8,54.2,9.0,2.41,10.0,2.53,no
63,21.7,2021-03-19,M,activo,Economia,Acuario,3.35,5.0,63.4,7.0,1.94,,1.83,no
64,24.1,2024-09-24,Otro,visual,Ingenieria,Sagitario,,10.4,98.7,1.0,2.76,,3.16,si
65,21.4,2023-05-19,f,sensorial,Educacion,Aries,3.92,3.7,47.0,11.0,2.41,7.0,2.54,no
66,22.0,2023-07-24,F,visual,Ingenieria,Geminis,4.77,10.5,94.7,1.0,2.85,4.0,3.06,si
67,23.4,2024-01-10,F,sensorial,Derecho,Tauro,4.42,0.8,79.3,4.0,2.74,5.0,1.96,no
68,23.6,2021-02-03,F,intuitivo,Ingenieria,Cancer,2.91,8.6,75.5,5.0,2.4,5.0,2.71,no
69,21.6,2022-09-08,,visual,Educacion,Capricornio,3.88,6.5,,,2.43,7.0,,no
70,19.5,2026-01-06,M,intuitivo,Psicologia,Escorpio,3.98,,92.1,2.0,2.44,4.0,2.34,no
71,20.7,2024-02-03,F,activo,Artes,Geminis,4.61,9.6,61.8,8.0,,3.0,2.39,no
72,24.4,2022-01-03,F,activo,Psicologia,Acuario,3.81,16.0,63.9,7.0,2.68,3.0,1.85,no
73,20.2,2023-02-08,F,activo,Educacion,Tauro,4.39,6.5,64.1,7.0,2.55,,2.63,no
74,22.6,2021-10-24,M,visual,Derecho,Aries,4.54,10.0,91.2,2.0,3.42,6.0,2.99,no
75,19.3,2022-05-15,F,sensorial,Administracion,Piscis,2.89,6.3,61.9,8.0,2.03,5.0,2.27,no
76,26.0,2024-09-27,F,intuitivo,Educacion,Libra,,2.3,96.1,1.0,,5.0,1.66,no
77,22.2,2024-01-11,M,equilibrio,Sistemas,Sagitario,4.17,5.1,80.6,4.0,2.5,8.0,3.28,si
78,19.5,2022-06-23,M,activo,Psicologia,Acuario,,160.0,68.1,6.0,2.47,8.0,2.74,no
79,25.4,2022-10-22,F,,Psicologia,Piscis,3.17,10.2,81.0,4.0,2.61,3.0,2.26,no
80,24.0,2024-11-12,F,secuencial,Sistemas,Capricornio,2.9,10.8,76.7,4.0,2.21,7.0,2.45,no
81,25.4,2021-01-11,,visual,Artes,Cancer,2.54,,68.8,6.0,2.01,5.0,1.27,no
82,28.0,2024-09-06,M,secuencial,Ingenieria,Aries,4.23,7.2,67.5,7.0,3.41,7.0,2.97,no
83,21.7,2022-01-11,F,intuitivo,Educacion,Piscis,"4,06",10.7,86.9,3.0,2.94,6.0,1.92,no
84,20.3,2023-01-25,M,visual,Educacion,Virgo,"3,89",3.3,69.1,6.0,2.26,5.0,1.82,no
85,21.1,2024-02-20,F,sensorial,Educacion,Aries,3.14,10.7,63.1,8.0,2.55,5.0,1.57,no
86,24.6,2024-11-15,F,verbal,Sistemas,Tauro,3.97,4.3,75.6,5.0,2.42,3.0,2.79,no
87,22.7,2023-08-27,F,verbal,Economia,Geminis,3.39,6.9,82.8,4.0,2.92,4.0,2.25,no
88,19.0,2022-09-07,F,sensorial,Economia,Escorpio,3.95,16.5,82.1,3.0,3.23,6.0,3.01,si
89,27.6,2023-03-16,F,verbal,Sistemas,Cancer,4.32,18.2,,,3.34,5.0,3.27,si
90,19.0,2020-08-06,F,,Artes,Sagitario,4.11,7.3,90.1,2.0,3.12,6.0,2.16,no
9,19.1,2024-08-13,F,equilibrio,Psicologia,Libra,4.2,10.6,78.8,5.0,1.88,7.0,1.93,no
92,22.5,2023-02-14,M,,Economia,Tauro,4.86,8.5,88.6,2.0,3.02,5.0,3.52,si
93,21.5,2022-01-17,M,sensorial,Sistemas,Cancer,,15.3,80.4,4.0,2.44,,2.57,no
94,25.0,2021-07-11,M,secuencial,Derecho,Piscis,3.99,,59.9,8.0,1.8,7.0,1.66,no
95,26.3,2021-09-05,F,intuitivo,Psicologia,Capricornio,4.59,9.9,71.9,5.0,2.93,6.0,2.59,no
96,24.1,2023-08-05,M,visual,Educacion,Leo,4.22,,,,3.1,7.0,2.36,no
97,19.0,2025-07-06,F,visual,Ingenieria,Tauro,3.94,22.1,65.1,7.0,3.07,7.0,3.11,si
98,26.9,2019-03-17,M,visual,Psicologia,Aries,3.34,,75.6,5.0,2.42,2.0,1.54,no
99,22.8,2022-05-27,,equilibrio,Derecho,Libra,2.89,14.2,76.9,5.0,2.34,7.0,1.78,no
100,20.0,2021-06-03,F,reflexivo,Ingenieria,Cancer,4.2,3.2,91.6,2.0,2.96,9.0,3.51,si
101,19.0,2020-09-09,M,sensorial,Psicologia,Capricornio,3.96,9.5,78.4,4.0,3.05,8.0,2.18,no
102,19.0,2023-07-04,F,activo,Ingenieria,Geminis,4.58,15.2,60.3,8.0,-0.8,9.0,3.56,si
103,27.8,2020-12-09,M,,Derecho,Libra,4.15,8.6,53.0,9.0,2.53,5.0,2.94,no
104,20.4,2024-10-20,M,equilibrio,Artes,Aries,3.34,2.8,66.7,7.0,2.42,4.0,1.94,no
105,22.2,2024-11-15,F,secuencial,Psicologia,Sagitario,3.94,5.3,73.2,6.0,3.13,3.0,2.55,no
106,22.3,2022-06-18,M,visual,Ingenieria,Piscis,3.88,,77.9,5.0,3.14,10.0,3.82,si
107,21.8,2022-05-13,F,sensorial,Ingenieria,Capricornio,4.17,12.6,,,3.41,9.0,3.8,si
108,26.3,2022-04-07,M,verbal,Ingenieria,Escorpio,4.3,19.7,78.2,5.0,3.73,7.0,3.9,si
109,19.0,2019-08-12,M,visual,Ingenieria,Virgo,5.0,10.8,,,4.08,4.0,4.19,si
110,20.2,2023-09-22,F,visual,Derecho,Libra,4.08,9.2,72.7,5.0,3.02,7.0,2.81,no
111,24.4,2024-04-22,M,secuencial,Administracion,Piscis,3.62,10.5,78.3,4.0,2.67,6.0,2.36,no
112,19.0,2024-01-03,F,intuitivo,Artes,Escorpio,4.83,14.4,89.9,2.0,3.46,5.0,2.22,no
113,20.2,2026-10-24,F,verbal,Educacion,Piscis,4.62,23.9,59.0,9.0,4.06,7.0,3.07,si
114,22.8,2022-12-26,F,visual,Educacion,Sagitario,3.94,2.4,78.7,4.0,2.34,2.0,1.8,no
115,20.2,2024-10-24, m ,equilibrio,Economia,Capricornio,2.49,14.1,85.7,3.0,2.1,6.0,1.88,no
116,19.0,2021-03-08,F,intuitivo,Artes,Tauro,2.09,6.1,89.2,2.0,2.3,9.0,1.68,no
117,26.9,2024-01-01,M,visual,Ingenieria,Leo,,22.7,71.4,6.0,4.34,7.0,3.85,si
118,24.5,2022-01-13,F,intuitivo,Artes,Sagitario,"3,91",12.2,79.9,4.0,3.71,3.0,2.24,no
119,25.1,2023-12-14,M,verbal,Economia,Cancer,3.91,,87.1,2.0,3.22,,2.36,no
120,20.8,2021-06-06,F,,Educacion,Libra,3.95,3.2,52.5,10.0,2.36,2.0,1.97,no
121,24.5,2025-04-23,M,verbal,Artes,Capricornio,2.99,,74.3,5.0,2.4,4.0,1.92,no
122,27.3,2025-12-09,F,reflexivo,Medicina,Aries,4.2,,94.8,1.0,3.11,7.0,3.49,si
123,19.0,2021-06-12,F,reflexivo,Artes,Cancer,3.79,6.7,89.6,2.0,2.61,3.0,1.48,no
124,19.0,2023-04-23,F,sensorial,Ingenieria,Virgo,4.01,8.6,89.0,2.0,3.23,10.0,3.35,si
125,28.1,2023-04-24,F,visual,Economia,Sagitario,3.55,,57.0,9.0,3.08,7.0,,no
126,19.0,2024-08-26,F,equilibrio,Derecho,Tauro,,,,,2.46,3.0,2.54,no
127,26.0,2024-03-26,F,verbal,Sistemas,Aries,2.53,6.2,80.1,4.0,1.9,7.0,2.48,no
128,20.9,2020-10-19,M,equilibrio,Administracion,Cancer,4.58,11.5,92.8,1.0,3.27,5.0,2.46,no
129,21.0,2022-11-11,M,reflexivo,Sistemas,Leo,4.0,15.1,79.0,4.0,2.58,7.0,3.46,si
130,22.5,2024-03-01,M,activo,Psicologia,Cancer,2.84,13.2,87.2,2.0,1.59,7.0,1.71,no
131,23.2,2023-04-12,,secuencial,Sistemas,Virgo,3.78,18.8,93.0,1.0,3.69,3.0,3.25,si
132,22.5,2024-10-12,M,equilibrio,Economia,Aries,3.26,13.6,,,2.44,5.0,2.45,no
133,19.0,2025-08-09,F,reflexivo,Ingenieria,Aries,4.06,4.9,66.9,7.0,3.07,5.0,3.57,si
134,27.2,2022-12-01,F,sensorial,Psicologia,Escorpio,2.88,10.0,88.8,2.0,2.3,6.0,1.32,no
135,25.9,2021-07-13,M,visual,Economia,Leo,3.57,13.3,67.9,6.0,1.78,,2.93,no
136,20.2,2022-09-12,F,activo,Artes,Tauro,4.09,11.5,85.9,3.0,,,3.01,si
137,19.7,2023-11-09,F,equilibrio,Psicologia,Geminis,2.95,6.9,80.7,4.0,2.41,6.0,,no
138,25.9,2021-02-02,F,sensorial,Artes,Sagitario,3.38,7.6,95.7,1.0,2.63,,1.67,no
139,27.8,2020-12-09,M,,Derecho,Libra,4.15,8.6,53.0,9.0,2.53,5.0,2.94,no
140,20.1,2023-12-04,Otro,secuencial,Administracion,Leo,3.65,21.6,75.6,5.0,3.28,9.0,3.26,si
141,21.3,2023-03-08,M,visual,Artes,Cancer,3.94,6.2,84.3,4.0,2.57,8.0,2.15,no
142,22.7,2023-12-13,M,sensorial,Medicina,Cancer,4.08,,98.9,0.0,3.02,5.0,3.02,si
143,21.8,2026-11-26,F,visual,Ingenieria,Acuario,4.41,,80.8,4.0,3.13,5.0,3.59,si
144,25.4,2025-12-13,M,activo,Educacion,Virgo,4.07,10.6,43.6,12.0,1.74,4.0,1.58,no
145,20.2,2025-11-05,M,intuitivo,Sistemas,Cancer,3.95,4.3,,,2.8,7.0,3.76,si
146,19.0,2025-09-14,M,activo,Ingenieria,Leo,4.81,9.8,73.1,6.0,3.05,8.0,3.59,si
147,23.1,2022-11-26,M,verbal,Psicologia,Tauro,"3,16",5.2,80.3,4.0,1.5,0.0,0.91,no
148,26.6,2023-07-10,Otro,equilibrio,Derecho,Cancer,3.2,7.3,79.8,4.0,2.8,1.0,2.3,no
149,23.4,2022-12-19,F,secuencial,Medicina,Escorpio,2.84,19.9,72.2,6.0,,9.0,2.66,no
150,19.3,2025-01-23,F,verbal,Economia,Geminis,3.73,16.5,74.0,5.0,,4.0,3.36,si
151,21.7,2021-11-27,M,visual,Medicina,Geminis,3.18,14.0,88.7,2.0,2.04,5.0,1.88,no
152,19.0,2021-07-13,F,reflexivo,Psicologia,Cancer,2.96,9.8,46.0,11.0,2.18,7.0,1.78,no
153,,2023-11-05,F,sensorial,Medicina,Libra,"3,78",,,,3.03,7.0,3.01,si
154,25.0,2023-10-20,F,equilibrio,Educacion,Escorpio,3.86,2.9,88.6,3.0,2.18,8.0,2.39,no
155,20.9,2022-12-17,Otro,,Sistemas,Geminis,2.81,6.2,85.3,3.0,2.27,6.0,2.58,no
156,27.4,2025-08-01,,secuencial,Psicologia,Geminis,2.93,,71.6,6.0,1.78,7.0,1.97,no
157,24.6,2023-08-04,M,secuencial,Economia,Leo,3.22,7.4,62.6,7.0,1.92,6.0,1.74,no
158,21.2,2022-01-07,M,,Administracion,Cancer,4.3,4.0,72.3,5.0,2.57,7.0,2.33,no
159,23.5,2021-07-23,F,secuencial,Educacion,Sagitario,4.25,8.4,49.5,10.0,2.5,,2.4,no
160,21.8,2023-03-12,M,secuencial,Administracion,Geminis,3.22,5.7,82.8,4.0,1.87,8.0,2.26,no
161,21.7,2023-08-14,F,visual,Artes,Virgo,3.56,5.8,93.4,1.0,2.42,,2.18,no
162,22.9,2023-12-15,F,equilibrio,Artes,Leo,4.08,14.5,68.2,6.0,2.26,6.0,2.08,no
163,17.0,2020-08-16,F,visual,Derecho,Acuario,5.0,11.3,75.8,5.0,,3.0,2.81,no
164,22.3,2021-01-24,F,sensorial,Medicina,Leo,3.57,17.7,94.9,1.0,3.37,3.0,2.96,no
165,21.2,2021-03-18,F,visual,Sistemas,Capricornio,3.17,13.8,,,2.62,4.0,2.86,no
166,19.0,2023-05-18,M,sensorial,Sistemas,Capricornio,3.61,3.7,78.6,4.0,2.18,7.0,2.48,no
167,24.4,2022-10-21,Otro,sensorial,Artes,Capricornio,3.33,13.8,19.1,16.0,1.91,9.0,2.06,no
168,25.6,2024-05-10,F ,activo,Ingenieria,Cancer,3.65,4.3,90.5,2.0,3.09,8.0,2.85,no
169,22.5,2024-03-18,M,intuitivo,Ingenieria,Libra,2.89,16.1,92.7,1.0,3.2,9.0,3.15,si
170,22.6,2026-07-09,F,activo,Psicologia,Geminis,3.55,11.5,39.9,12.0,,5.0,1.95,no
171,28.2,2021-01-18,F,equilibrio,Derecho,Sagitario,3.78,9.3,81.5,4.0,2.74,6.0,1.86,no
172,21.2,2026-03-05,F,activo,Psicologia,Escorpio,4.28,12.1,76.6,5.0,3.09,4.0,1.72,no
173,19.0,2020-09-17,M,activo,Ingenieria,Escorpio,5.0,7.7,85.5,3.0,3.77,10.0,3.85,si
174,23.7,2020-11-24,M,reflexivo,Medicina,Cancer,4.44,10.9,54.7,9.0,2.74,8.0,2.73,no
175,21.8,2021-12-17,F,equilibrio,Ingenieria,Capricornio,,,69.5,6.0,2.67,6.0,2.52,no
176,21.5,2024-11-06,M,visual,Economia,Leo,4.47,12.0,78.3,5.0,3.09,5.0,2.98,no
177,23.7,2022-05-08,M,secuencial,Economia,Cancer,"3,62",9.6,81.0,4.0,2.59,,3.08,si
178,21.8,2023-02-26,F ,,Psicologia,Geminis,3.04,5.2,88.2,2.0,2.77,9.0,2.87,no
179,19.0,2024-05-26,F,equilibrio,Psicologia,Capricornio,3.95,,70.0,6.0,2.25,7.0,2.72,no
180,24.0,2024-10-02,F,visual,Ingenieria,Aries,4.25,16.3,,,,10.0,3.39,si
181,22.7,2022-04-15,F,visual,Sistemas,Escorpio,3.51,11.9,48.2,10.0,3.06,7.0,2.85,no
182,21.3,2021-09-01,F,activo,Psicologia,Cancer,4.8,,76.0,4.0,3.38,10.0,3.21,si
183,19.0,2019-03-14,M,secuencial,Educacion,Piscis,4.35,4.9,71.0,6.0,2.58,7.0,2.26,no
184,22.9,2024-04-05,M,sensorial,Derecho,Escorpio,4.25,5.9,55.5,9.0,2.26,,2.91,no
185,22.6,2020-01-11,F ,sensorial,Derecho,Tauro,4.09,,85.5,3.0,2.59,5.0,2.73,no
186,30.2,2022-01-04,M,equilibrio,Medicina,Libra,4.44,5.0,62.2,8.0,3.56,6.0,3.35,si
187,20.2,2025-10-04,F,visual,Administracion,Leo,2.83,6.5,49.2,10.0,1.68,9.0,1.38,no
188,19.0,2023-08-08, m ,visual,Ingenieria,Virgo,5.0,25.8,96.9,0.0,4.74,6.0,4.62,si
189,22.1,2025-05-27,M,sensorial,Derecho,Escorpio,4.03,20.4,90.7,2.0,3.07,7.0,3.01,si
190,27.5,2025-01-17,M,intuitivo,Educacion,Piscis,3.16,10.4,91.7,2.0,2.64,,2.1,no
191,19.0,2024-04-10,F,visual,Psicologia,Escorpio,2.28,21.5,74.7,5.0,2.42,2.0,1.49,no
192,20.9,2023-12-17,F,visual,Sistemas,Piscis,3.33,8.6,76.8,5.0,2.58,,2.5,no
193,23.4,2023-04-22,F,intuitivo,Psicologia,Acuario,3.02,6.6,74.8,5.0,2.29,,2.66,no
194,22.4,2024-08-11,M,intuitivo,Ingenieria,Leo,4.66,,71.3,6.0,3.94,6.0,3.88,si
195,27.4,2023-04-25,F,reflexivo,Psicologia,Sagitario,3.87,10.6,68.5,6.0,2.61,5.0,2.81,no
196,19.7,2022-06-04,M,reflexivo,Derecho,Leo,,11.7,,,2.52,8.0,2.06,no
197,19.0,2024-05-06,F,secuencial,Sistemas,Escorpio,3.54,3.1,77.8,4.0,,5.0,2.58,no
198,20.8,2023-08-09,M,verbal,Administracion,Capricornio,"3,22",7.9,75.9,5.0,2.37,7.0,1.98,no
199,21.1,2022-01-27,Otro,sensorial,Educacion,Tauro,3.39,11.3,86.1,3.0,2.64,6.0,2.36,no
200,19.6,2023-05-12,M,visual,Ingenieria,Libra,3.32,13.3,85.3,3.0,3.52,9.0,3.16,si
201,22.8,2026-08-16,M,equilibrio,Administracion,Virgo,2.72,8.0,63.9,7.0,2.17,10.0,2.52,no
202,22.4,2024-04-13,M,intuitivo,Economia,Leo,3.07,1.9,83.1,3.0,1.85,,1.72,no
203,24.2,2022-01-09,F,reflexivo,Derecho,Leo,3.59,13.3,60.3,8.0,,4.0,,no
204,19.9,2024-01-15,Otro,visual,Administracion,Acuario,2.7,18.8,87.4,3.0,2.1,,1.46,no
205,24.1,2022-10-22,F,secuencial,Psicologia,Leo,5.0,13.8,98.0,1.0,3.81,8.0,3.38,si
206,,2024-04-25,F,visual,Sistemas,Piscis,4.15,8.4,84.7,3.0,2.59,9.0,2.8,no
207,22.8,2022-05-27,,equilibrio,Derecho,Libra,2.89,14.2,76.9,4.0,2.34,7.0,1.78,no
208,19.2,2022-01-13,F,secuencial,Medicina,Acuario,4.09,4.7,86.4,3.0,2.89,8.0,3.03,si
209,22.5,2023-12-01,M,equilibrio,Educacion,Capricornio,3.76,14.2,84.5,3.0,2.69,7.0,2.45,no
210,19.0,2023-06-22,F,verbal,Ingenieria,Escorpio,,11.6,78.4,4.0,2.96,5.0,3.55,si
211,19.4,2026-01-08,M,secuencial,Psicologia,Escorpio,3.72,17.0,78.4,4.0,2.96,4.0,2.18,no
212,24.3,2022-12-02,F,reflexivo,Economia,Aries,4.43,12.1,84.9,3.0,3.41,6.0,3.3,si
213,22.8,2023-03-27,F,intuitivo,Economia,Sagitario,4.49,16.9,83.2,3.0,3.66,7.0,3.41,si
214,25.1,2021-03-23,M,secuencial,Sistemas,Piscis,5.0,3.9,95.7,1.0,3.71,1.0,3.08,si
215,15.5,2026-11-13,M,activo,Derecho,Cancer,2.97,2.9,80.3,4.0,2.46,4.0,2.44,no
216,19.9,2025-07-20,M,intuitivo,Ingenieria,Tauro,4.78,9.9,76.0,5.0,3.76,9.0,4.19,si
217,20.6,2022-03-04,F,activo,Derecho,Leo,4.0,10.7,72.2,5.0,2.56,5.0,2.27,no
218,23.3,2019-02-16,F,equilibrio,Educacion,Virgo,1.75,9.8,94.3,1.0,1.93,6.0,1.22,no
219,20.0,2019-05-16,F,secuencial,Educacion,Cancer,,4.7,82.4,3.0,1.93,4.0,1.54,no
220,21.7,2023-04-26,M,reflexivo,Educacion,Cancer,4.31,14.8,76.4,5.0,2.54,7.0,2.7,no
221,23.2,2023-06-04,F,visual,Derecho,Acuario,3.92,15.2,57.4,8.0,2.51,7.0,2.09,no
222,22.3,2024-04-08,F,secuencial,Administracion,Leo,3.97,2.4,,,2.63,1.0,2.58,no
223,26.2,2020-03-26,M,sensorial,Ingenieria,Virgo,4.62,5.0,56.6,9.0,2.17,6.0,2.98,no
224,26.9,2025-05-02,F,visual,Ingenieria,Aries,,5.4,54.0,9.0,3.07,9.0,3.45,si
225,24.8,2023-02-21,F,activo,Ingenieria,Tauro,3.33,,71.4,6.0,2.48,5.0,3.31,si
226,29.1,2024-03-03,F,secuencial,Administracion,Leo,3.92,5.6,70.0,6.0,2.79,8.0,2.7,no
227,19.0,2022-06-23,F,sensorial,Psicologia,Escorpio,4.09,4.7,75.3,5.0,2.35,5.0,2.15,no
228,23.1,2024-03-21,M,visual,Derecho,Escorpio,3.56,4.4,58.0,8.0,1.68,,1.83,no
229,22.6,2025-02-10,M,activo,Administracion,Acuario,5.0,7.9,87.1,2.0,3.67,6.0,3.21,si
230,22.6,2021-10-19,F,sensorial,Sistemas,Tauro,3.51,11.5,85.4,3.0,2.38,6.0,2.96,no
231,24.8,2023-10-09,M,visual,Medicina,Tauro,4.68,18.4,73.6,6.0,3.8,2.0,2.66,no
232,22.2,2025-06-21,,sensorial,Derecho,Leo,4.02,11.9,,,3.16,6.0,2.33,no
233,20.5,2023-03-06,M,reflexivo,Ingenieria,Escorpio,3.67,1.3,76.1,5.0,2.4,9.0,2.01,no
234,,2023-08-13,f,sensorial,Psicologia,Virgo,3.82,12.9,78.5,5.0,2.93,8.0,2.49,no
235,23.2,2022-04-12,F,equilibrio,Ingenieria,Leo,"5,0",3.6,75.0,5.0,4.43,7.0,4.23,si
